Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
"Pedro Bonifacio Suárez Pérez ""Arico"" (Pedro Suárez)",Argentina,5-Jun-08,Santa Brígida,Spain,,Spain,Spain,,,1,1930
"Milovan ""El Grande Milovan"" Jakšić",Yugoslavia,21-Sep-09,Kolašin,Austria-Hungary,Montenegro,,,,,1,1930
Ernest Libérati,France,22-Mar-06,Oran,French Algeria,Algeria,,,,,1,1930
Alexandre Villaplane (Captain),France,12-Sep-05,Algiers,French Algeria,Algeria,,,,,1,1930
Roberto Gayón Márquez,Mexico,xx-xx-1905,San Jose,Costa Rica,,Mexico,Mexico,,,1,1930
"Andrew ""Andy"" Auld",United States,26-Jan-00,Stevenston,Scotland,,,,,,1,1930
"James ""Jim"" Brown",United States,31-Dec-08,Kilmarnock,Scotland,,Scotland,Scotland,,,1,1930
Jimmy Gallagher,United States,7-Jun-01,Kirkintilloch,Scotland,,,,,,1,1930
Alfred Eisenbeisser,Romania,7-Apr-08,Chernivtsi,Austria-Hungary,Ukraine,,,,,1,1930
Ladislau Raffinsky,Romania,23-Apr-05,Miskolc,Austria-Hungary,Hungary,,,,,1,1930
"Bartholomew ""Bertie"" or ""Bart"" McGhee (Bart McGhee)",United States,30 April 1899 ,Edinburgh,Scotland,,Scotland,Scotland,,,1,1930
George Moorhouse,United States,4-Apr-01,Liverpool,England,,England,England,,,1,1930
Alexander “Alec” Wood,United States,12-Jun-07,Lochgelly,Scotland,,Scotland,Scotland,,,1,1930
Lorenzo Fernández,Uruguay,20-May-00,Redondela,Spain,,,,,,1,1930
Constantino Urbieta Sosa,Argentina,12 augustus 1907,Asunción,Paraguay,,,,,,1,1934
Štefan Čambal,Czechoslovakia,17-Dec-08,Bratislava,Austria-Hungary,Czech Republic,,,,,1,1934
Ferdinand Daučík,Czechoslovakia,30-May-10,Ipolské Šiahy,Austria-Hungary,Slovakia,,,,,1,1934
Géza Kalocsay,Czechoslovakia,30-May-13,Berehovo,Austria-Hungary,Slovakia,,,,,1,1934
František Svoboda,Czechoslovakia,5-Jul-05,Vienna,Austria-Hungary,Ukraine,,,,,1,1934
Matthias Sindelar (born as Matěj Šindelář),Austria,10-Feb-03,Kozlov,Austria-Hungary,Austria,,,,,1,1934
Joseph Alcazar,France,15-Jun-11,Oran,French Algeria,Algeria,,,,,1,1934
Roger Courtois,France,30-May-12,Geneva,Switzerland,,,,,,1,1934
István Avar (Stefan Auer),Hungary,30-May-05,Arad,Austria-Hungary,Romania,Germany,Germany,,,1,1934
Jenő Vincze,Hungary,20-Nov-08,Versec (now Vršac),Austria-Hungary,Serbia,,,,,1,1934
Joseph Gonzales,France,19-Feb-07,Béni Saf,French Algeria,Algeria,,,,,1,1934
"Frédéric ""Fritz"" Keller (born Friedrich Keller) ",France,21 augustus 1913,Strasbourg,German Empire,France,Germany,France,,,1,1934
"Attilio José  Demaria (""Attilio Demaria"")",Italy,19-Mar-09,Buenos Aires,Argentina,,Argentina,Argentina,Italy,Italy,1,1934
